ds,yhat,yhat_lower,yhat_upper
2023-05-30,439.52104084229745,-350.2339489521504,1136.6250193622288
2023-05-30,439.52104084229745,-294.32959770082067,1197.658824364921
2023-05-31,435.48331163914884,-268.35030843701907,1144.7099968592436
2023-05-31,435.48331163914884,-279.7282611005933,1204.6979429262356
2023-05-31,435.48331163914884,-310.5024341143501,1130.9903069214076
2023-06-01,455.65058071043273,-235.47972565013555,1162.0525090552774
2023-06-01,455.65058071043273,-267.17983212183225,1136.6123542854793
2023-06-01,455.65058071043273,-315.25195001401204,1193.2364128209351
2023-06-02,468.6846812383991,-231.83210071455187,1164.3608087796044
2023-06-02,468.6846812383991,-276.88239035895566,1157.8657680426834
2023-06-02,468.6846812383991,-277.71535173319216,1213.7647097320682
2023-06-03,529.8912243413909,-262.63754054163826,1209.0901682188492
2023-06-03,529.8912243413909,-204.95333008050335,1277.4772195443757
2023-06-03,529.8912243413909,-183.9803372240694,1259.0408148463778
2023-06-04,448.5283997484129,-297.80407823236806,1189.4454036809382
2023-06-04,448.5283997484129,-263.8578976935189,1240.1271064799714
2023-06-04,448.5283997484129,-267.44019314493994,1159.419236141053
2023-06-04,448.5283997484129,-262.2849216060534,1166.6655645056037
2023-06-05,488.0462015904823,-250.76226862968838,1225.00727183358
2023-06-05,488.0462015904823,-285.9236986222313,1218.9103652670135
2023-06-06,439.70873597897184,-275.85613834844247,1176.340657459555
2023-06-06,439.70873597897184,-287.0734547358884,1113.3456111619585
2023-06-06,439.70873597897184,-318.79830892711254,1173.5503105275823
2023-06-06,439.70873597897184,-267.31587344469347,1146.1731129516522
2023-06-07,435.67100677592106,-220.4125490382553,1188.0497305063855
2023-06-07,435.67100677592106,-251.28456365534956,1182.3615934779389
2023-06-08,455.8382758475313,-288.82066323418763,1187.9140368345024
2023-06-08,455.8382758475313,-284.3149074787024,1107.4462900442595
2023-06-09,468.872376375224,-214.83557211705872,1160.7170460787966
2023-06-09,468.872376375224,-260.9411710078308,1197.183524184974
2023-06-09,468.872376375224,-260.37600810095057,1227.3135878895584
2023-06-10,530.0789194781614,-173.94644194017712,1247.1062851840531
2023-06-10,530.0789194781614,-181.101374713795,1287.7926981871788
2023-06-10,530.0789194781614,-227.5947675703393,1200.6608757009606
2023-06-10,530.0789194781614,-157.33202562328128,1290.4365432405612
2023-06-11,448.7160948853302,-305.3899020884476,1161.8610806641698
2023-06-11,448.7160948853302,-313.34993358478283,1135.6128069942984
2023-06-11,448.7160948853302,-262.5333563159307,1180.0821476303688
2023-06-11,448.7160948853302,-307.67972353598253,1153.0019611429661
2023-06-11,448.7160948853302,-283.62802196351066,1156.3965389080047
2023-06-12,488.2338967387298,-239.28320452470035,1215.6428848175283
2023-06-13,439.8964311384887,-283.87740294854297,1100.073825150052
2023-06-14,435.85870194668234,-279.62380245502015,1139.939166719559
2023-06-15,456.02597102955514,-240.32055827819076,1204.7746340813094
2023-06-15,456.02597102955514,-272.1586510652434,1253.0350927912098
2023-06-16,469.06007156854247,-253.03248521780984,1189.4272625833617
2023-06-16,469.06007156854247,-209.69879654299146,1243.429937908629
2023-06-17,530.2666146829106,-205.80291888779243,1243.2771691793803
2023-06-17,530.2666146829106,-207.45260109017488,1256.10675232233
2023-06-17,530.2666146829106,-196.21386147693158,1233.8631690714235
2023-06-18,448.9037901014573,-238.38964067229048,1187.007976714805
2023-06-19,488.4215919547179,-264.98555847866186,1154.0383429513652
2023-06-19,488.4215919547179,-248.56240826858934,1207.908340142883
2023-06-19,488.4215919547179,-184.53171919924225,1215.0238454417138
2023-06-19,488.4215919547179,-238.92053454616223,1198.6505859646916
2023-06-19,488.4215919547179,-255.8029659445651,1181.01048976104
2023-06-20,440.0841263546543,-288.3587905194229,1163.2459975801883
2023-06-20,440.0841263546543,-269.82367754150283,1169.3934972660659
2023-06-21,436.04639716297356,-296.03048760937764,1137.484832976481
2023-06-21,436.04639716297356,-339.83713521298284,1102.325594137809
2023-06-22,456.2136662456146,-272.53105420325124,1169.9634671986285
2023-06-22,456.2136662456146,-221.36196910109214,1103.61130909466
2023-06-22,456.2136662456146,-246.07648876761863,1206.7860726247832
2023-06-22,456.2136662456146,-254.41184907837436,1204.0353261382804
2023-06-23,469.2478462829019,-276.3257936892294,1195.5841448223212
2023-06-23,469.2478462829019,-192.9440756909209,1209.7765520271341
2023-06-24,530.4544688952165,-169.28385914898203,1287.8259301765904
2023-06-24,530.4544688952165,-162.13456074781897,1280.208581953032
2023-06-24,530.4544688952165,-154.62547476694513,1216.0988799383047
2023-06-24,530.4544688952165,-207.15970089241407,1285.4136114759726
2023-06-24,530.4544688952165,-181.55128675228872,1320.7122887589837
2023-06-25,449.09172381183095,-247.21512256592032,1153.568838344583
2023-06-26,488.60960516317414,-261.3855324335208,1258.9014082066085
2023-06-26,488.60960516317414,-242.88169352993043,1195.8917799892108
2023-06-26,488.60960516317414,-255.97688485748895,1183.0476520511124
2023-06-27,440.27221906130717,-292.64493041064543,1149.7883817877123
2023-06-28,436.2345693677579,-352.91456399493296,1216.340320395872
2023-06-29,456.4019179483999,-234.9063969608396,1185.448968040321
2023-06-29,456.4019179483999,-252.28915245134453,1173.0543023406055
2023-06-29,456.4019179483999,-335.1608038682122,1133.7466110995802
2023-06-30,469.43609798546663,-284.5898110033634,1237.1058315586135
2023-06-30,469.43609798546663,-295.6835249294982,1169.5742803216679
2023-07-01,530.6427205979332,-160.40545833995984,1220.1766166213597
2023-07-01,530.6427205979332,-171.15054454160614,1240.853208196149
2023-07-01,530.6427205979332,-146.66519040198529,1262.987893929468
2023-07-01,530.6427205979332,-218.69902919881005,1248.417685167863
2023-07-03,488.79785686585655,-292.59913996046527,1172.045581233927
2023-07-03,488.79785686585655,-224.62019673834308,1211.9592413971761
2023-07-04,440.4604707638652,-329.36130323160376,1174.928117746161
2023-07-05,436.4228210704136,-192.65655136465847,1170.5786487680675
2023-07-05,436.4228210704136,-290.99127752631426,1171.5522681186114
2023-07-05,436.4228210704136,-288.5603490179178,1096.0838839424498
2023-07-05,436.4228210704136,-312.89984412368204,1152.6419041323913
2023-07-06,456.59016965118514,-246.44313731439343,1147.9832082431183
2023-07-06,456.59016965118514,-277.3680797603494,1141.439289608374
2023-07-06,456.59016965118514,-265.73789514985737,1178.5709583853088
2023-07-08,530.830973692051,-154.18338327613154,1284.1902861214185
2023-07-08,530.830973692051,-196.6612779253838,1241.6454271141238
2023-07-09,449.46822930418676,-287.03015163698853,1212.5651777801218
2023-07-09,449.46822930418676,-321.0233074878588,1139.4298705631174
2023-07-09,449.46822930418676,-264.11587552891706,1190.934989480032
2023-07-09,449.46822930418676,-304.36562916207725,1171.2216759904907
2023-07-11,440.64872594514526,-242.6412214939152,1171.486761673955
2023-07-11,440.64872594514526,-256.89395559858946,1108.885356645738
2023-07-12,436.6110769470967,-297.4931628200461,1149.1725395211865
2023-07-13,456.7784262235185,-348.3391158923888,1195.0755988867534
2023-07-14,469.81260695639753,-218.63844391473486,1169.018759248254
2023-07-14,469.81260695639753,-232.67988685929242,1161.3602148855073
2023-07-14,469.81260695639753,-275.7172863060086,1240.9177007880194
2023-07-14,469.81260695639753,-283.6498221031777,1174.809061497445
2023-07-14,469.81260695639753,-297.2217064862356,1192.2219721755969
2023-07-14,469.81260695639753,-269.5702443111143,1165.2396807274374
2023-07-14,469.81260695639753,-267.68559568933114,1186.2501536412988
2023-07-14,469.81260695639753,-269.6390245620245,1217.6882546533654
2023-07-14,469.81260695639753,-253.5663018229593,1188.9852827671189
2023-07-14,469.81260695639753,-251.3885501015442,1185.0929345487798
2023-07-15,531.0192302644039,-221.00417791251272,1259.170017172729
2023-07-15,531.0192302644039,-151.80432919848852,1224.4862294087418
2023-07-16,449.65648587658774,-241.23734462506854,1200.6414160893785
2023-07-16,449.65648587658774,-366.26116184253226,1114.0060051622713
2023-07-17,489.17436792372376,-230.39398168601807,1223.0472531959695
2023-07-17,489.17436792372376,-161.51081359242215,1216.4695410463623
2023-07-19,436.7993335195031,-291.74394427505274,1171.427098799027
2023-07-19,436.7993335195031,-278.1784274566221,1125.1482857361302
2023-07-19,436.7993335195031,-268.8866978551034,1147.7552990887011
